rtc_s;CPU_C;mirror_cell_C
1542716404;26.18;0.57
1542716433;26.17;0.56
1542716448;26.16;0.60
1542716463;26.35;0.62
1542716479;26.29;0.64
1542716494;26.42;0.61
1542716509;26.43;0.58
1542716524;26.43;0.63
1542716538;26.50;0.71
1542716553;26.59;0.75
1542716568;26.51;0.71
1542716599;26.68;0.81
1542716614;26.73;0.87
1542716629;26.64;0.86
1542716644;26.73;0.90
1542716658;26.76;0.94
1542716673;26.67;0.86
1542716688;26.65;0.85
1542716703;26.81;0.85
1542716719;26.82;0.90
1542716734;26.82;0.91
1542716764;26.89;0.89
1542716778;26.88;0.93
1542716793;26.95;0.96
1542716808;26.99;0.98
1542716823;27.01;0.94
1542716839;27.05;1.01
1542716854;27.00;1.00
1542716869;27.05;1.04
1542716884;27.14;1.07
1542716898;27.16;1.15
1542716928;27.15;1.14
1542716943;27.25;1.18
1542716959;27.28;1.24
1542716974;27.32;1.28
1542716989;27.31;1.26
1542717004;27.28;1.21
1542717018;27.32;1.20
1542717033;27.35;1.22
1542717048;27.39;1.28
1542717063;27.31;1.20
1542717094;27.40;1.39
1542717109;27.48;1.40
1542717124;27.47;1.40
1542717138;27.51;1.49
